file,key,unprocessed,processed
MIT_604,gender,Female .,Female
MIT_604,languageknown,"Marathi , English","Marathi, English"
MIT_604,contactnumber,1194819.344 .,1194819344
MIT_604,experience,9 years at Dugal - Kerian,9 years at Dugal - Kerian
MIT_604,nationality,Indian .,Indian
MIT_604,permanentaddress,"70 , Chadha Mary , Srikakulam 284268","70, Chadha Mary, Srikakulam 284268"
MIT_604,referencescmob1,Laban Vala - 8053042369 .,Laban Vala - 8053042369
MIT_604,AlternateNo,97 60 21.79 70 .,9760217970
MIT_604,presentaddress,"87 , Singh Road , Motihari -070946","87, Singh Road, Motihari -070946"
MIT_604,candidatename,Turri Bahl .,Turri Bahl
MIT_604,referencescmob2,Nandini Bohal - 779A3239TI,Nandini Bohal - 7793239
MIT_604,date,4 ) 2 ) 2022 .,04-02-2022
MIT_604,Fatherhusbandname,Tanay Bahl .,Tanay Bahl
MIT_604,experience1,8 years at Goel - Pathak,8 years at Goel - Pathak
MIT_604,bloodgroup,Bt .,B+
MIT_604,qualification,Diploma .,Diploma
MIT_604,maritalstatus,married .,Married
MIT_604,place,Luckinow .,Lucknow
MIT_604,Dateofbirth,5/7/9.77 .,5/7/9/77
MIT_604,aadhaarcard,85 3.388000000 .,8.53388E+11
TCE_1223,permanentaddress,"H.NO. 14, tube mood , shunbad","H.NO. 14, tube mood, Shunbad"
TCE_1223,referencescmob1,Harrison Narain - 8548174114,Harrison Narain - 8548174114
TCE_1223,presentaddress,"604 , Tailos Ganj , Baranggar","604, Tailos Ganj, Baranggar"
TCE_1223,experience,4 years at Naik-oak .,4 years at Naik-oak
TCE_1223,experience1,7 years at party-LLC.,7 years at party-LLC
TCE_1223,languageknown,"Telugu , malayalam","Telugu, Malayalam"
TCE_1223,contactnumber,aFO 3a 300aqa,3300
TCE_1223,Dateofbirth,2/14 ( 1976 .,2/14/1976
TCE_1223,nationality,Indian .,Indian
TCE_1223,place,Agastala .,Agartala
TCE_1223,referencescmob2,Anay Wadhwa - 8505670684,Anay Wadhwa - 8505670684
TCE_1223,candidatename,Grantami Nagi .,Grantami Nagi
TCE_1223,Fatherhusbandname,rathaniel Nagi .,Rathaniel Nagi
TCE_1223,gender,Female .,Female
TCE_1223,qualification,diploma .,Diploma
TCE_1223,maritalstatus,married .,Married
TCE_1223,date,11 ( 06 ) 2023 .,11-06-2023
TCE_1223,AlternateNo,94 7245 4084 .,9472454084
TCE_1223,bloodgroup,A -,A-
MIT_220,experience,10 years at wayak-keddy .,10 years at wayak-keddy
MIT_220,gender,Female .,Female
MIT_220,nationality,Indian,Indian
MIT_220,permanentaddress,"86/113 , Thatuv , Eiwan-809-88","86/113, Thatuv, Eiwan-809-88"
MIT_220,maritalstatus,qing le,Single
MIT_220,contactnumber,8911 867745,8911867745
MIT_220,aadhaarcard,H8604 )000000,8604000000
MIT_220,experience1,I years at Prasad singled and menon,I years at Prasad singled and menon
MIT_220,presentaddress,"H.NO.04 , Bal Street's na rasaraopet 5 88953","H.NO.04, Bal Streets na Rasaraopet 5 88953"
MIT_220,qualification,PhD .,PhD
MIT_220,candidatename,Ephana Bakshi .,Ephana Bakshi
MIT_220,date,"06 ( 29,2022 .",6/29/2022
MIT_220,bloodgroup,o-,O-
MIT_220,referencescmob1,Edwitha Luthra - 8 841 80.2/9,Edwitha Luthra - 88418029
MIT_220,referencescmob2,"chaaya Kohli - 703050,255",Chaaya Kohli - 703050255
MIT_220,AlternateNo,"859q 7/6,000",859716000
MIT_220,Dateofbirth,8 ( IT ( ACCO .,8
MIT_220,Fatherhusbandname,what Bakshi .,What Bakshi
