,folder,file,pred_text,actual_text
0,MIT_290,nationality,Indian .,Indian
1,MIT_290,Dateofbirth,3/6 ( 1972 .,03-06-1972
2,MIT_290,Fatherhusbandname,Bahadurjit Aggarwal,Bahadurjit Aggarwal
3,MIT_290,permanentaddress,"H.NO. 18 , LOYAL CURCLE , JALANDHAR-309","H.No. 18, Loyal Circle, Jalandhar 309001"
4,MIT_290,experience,7 . YEARS AT TALWAR-SHA .,7 years at Talwar-Sha
5,MIT_290,date,12/05 ( 2025 .,12-05-2025
6,MIT_290,presentaddress,"Hino. 679 , Soni 2ila , Munger-122150","H.No. 679, Soni Zila, Munger-122150"
7,MIT_290,gender,male .,Male
8,MIT_290,bloodgroup,At,A+
9,MIT_290,experience1,3 years at Malhotra Valaya and Salvi .,3 years at Malhotra  Vaidya and Salvi
10,MIT_290,qualification,10th pass .,10th Pass
11,MIT_290,languageknown,"Tamil , English , Malayalam , Gusarati","Tamil, Malayalam, English, Gujarati"
12,MIT_290,referencescmob2,Wridgeship Kashyap - 7444635975 .,Wridesh Kashyap - 7444635975
13,MIT_290,pancard,jelij 3444x .,JELIJ3444X
14,MIT_290,maritalstatus,single .,Single
15,MIT_290,contactnumber,99 28 524 27 .,9928524127
16,MIT_290,AlternateNo,0061769173 .,9061769173
17,MIT_290,place,Parma .,Patna
18,MIT_290,candidatename,RONITH AGARWAL,Ronith Aggarwal
19,MIT_290,referencescmob1,Aradhana Mane -7491845991,Aradhana Mane - 7491845991
20,MIT_207,nationality,Indian .,Indian
21,MIT_207,Dateofbirth,a (30/1999 .,9/30/1999
22,MIT_207,Fatherhusbandname,August Garde .,Aayush Garde
23,MIT_207,permanentaddress,"H.No. 57 , Pandit Nagor : Thoothukudi 148026","H.No. 57, Pandit Nagar, Thoothukudi 148026"
24,MIT_207,experience,to years at Bom-Argarwal,10 years at Som-Agarwal
25,MIT_207,date,4/20 (2023 .,11/20/2023
26,MIT_207,presentaddress,"H.No. 943 , Thaker Circle , Siliguri 145775","H.No. 943, Thakur Circle, Siliguri 145775"
27,MIT_207,gender,Male .,Male
28,MIT_207,bloodgroup,0-,O-
29,MIT_207,experience1,3 years at Kota-Sodhi .,3 years at Kota-Sodhi
