,folder,file,text
0,MIT_290,nationality,Indian .
1,MIT_290,Dateofbirth,3/6 ( 1972 .
2,MIT_290,Fatherhusbandname,Bahadurjit Aggarwal
3,MIT_290,permanentaddress,"H.NO. 18 , LOYAL CURCLE , JALANDHAR-309"
4,MIT_290,experience,7 . YEARS AT TALWAR-SHA .
5,MIT_290,date,12/05 ( 2025 .
6,MIT_290,presentaddress,"Hino. 679 , Soni 2ila , Munger-122150"
7,MIT_290,gender,male .
8,MIT_290,bloodgroup,At
9,MIT_290,experience1,3 years at Malhotra Valaya and Salvi .
10,MIT_290,qualification,10th pass .
11,MIT_290,languageknown,"Tamil , English , Malayalam , Gusarati"
12,MIT_290,referencescmob2,Wridgeship Kashyap - 7444635975 .
13,MIT_290,pancard,jelij 3444x .
14,MIT_290,maritalstatus,single .
15,MIT_290,contactnumber,99 28 524 27 .
16,MIT_290,AlternateNo,0061769173 .
17,MIT_290,place,Parma .
18,MIT_290,candidatename,RONITH AGARWAL
19,MIT_290,referencescmob1,Aradhana Mane -7491845991
20,MIT_207,nationality,Indian .
21,MIT_207,Dateofbirth,a (30/1999 .
22,MIT_207,Fatherhusbandname,August Garde .
23,MIT_207,permanentaddress,"H.No. 57 , Pandit Nagor : Thoothukudi 148026"
24,MIT_207,experience,to years at Bom-Argarwal
25,MIT_207,date,4/20 (2023 .
26,MIT_207,presentaddress,"H.No. 943 , Thaker Circle , Siliguri 145775"
27,MIT_207,gender,Male .
28,MIT_207,bloodgroup,0-
29,MIT_207,experience1,3 years at Kota-Sodhi .
30,MIT_207,qualification,Post-Graduate .
31,MIT_207,languageknown,"Tamil , Marathi , Kannada , Gujarati"
32,MIT_207,aadhaarcard,6058350000000
33,MIT_207,referencescmob2,Azaan konda - 7099460782
34,MIT_207,maritalstatus,married .
35,MIT_207,contactnumber,9482883175
36,MIT_207,AlternateNo,7.3240 52 lb .
37,MIT_207,place,Ranche .
38,MIT_207,candidatename,Balvan Grande .
39,MIT_207,referencescmob1,Lucky Parikh - 8140922283
40,MIT_484,nationality,Indian .
41,MIT_484,Dateofbirth,6/28 (1999 .
42,MIT_484,Fatherhusbandname,Wahab Minhas
43,MIT_484,permanentaddress,"H.NO. 148 , Sampath , Begugorai -3"
44,MIT_484,experience,5 years at Ichalsa Brahmabkrati
45,MIT_484,date,01 ( 14 ) 2022 .
46,MIT_484,presentaddress,"88 , chakra barti choooke , sambalpur"
47,MIT_484,gender,male
48,MIT_484,bloodgroup,A F
49,MIT_484,experience1,6 years at Pandya and son's
50,MIT_484,qualification,Diploma .
51,MIT_484,languageknown,"English , Tamil ."
52,MIT_484,aadhaarcard,151 68 1000000
53,MIT_484,referencescmob2,Mitali Hedge - 7789546909
54,MIT_484,pancard,XIXS GO 726m.
55,MIT_484,maritalstatus,single .
56,MIT_484,contactnumber,9798573192 .
57,MIT_484,AlternateNo,"72.8,680-89 ."
58,MIT_484,place,Huderabad .
59,MIT_484,candidatename,Ethan Minhas .
60,MIT_484,referencescmob1,Karan Das - 85149384IN .
61,MIT_101,nationality,Indian
62,MIT_101,Dateofbirth,2/11 ( 1983 .
63,MIT_101,Fatherhusbandname,frado Moody .
64,MIT_101,permanentaddress,"84187 , Dholiwal , Granette mayor - 4.28.39"
65,MIT_101,experience,3 years at Sothe Phingra and Sastry
66,MIT_101,date,12 (19 ) 2024 .
67,MIT_101,presentaddress,"11/039 , More Street , Twin Vottiger 4.3053 ."
68,MIT_101,gender,Male
69,MIT_101,bloodgroup,about .
70,MIT_101,experience1,7 years at Kour and Sons .
71,MIT_101,qualification,Graduate .
72,MIT_101,languageknown,"Tamil , Kannada"
73,MIT_101,aadhaarcard,502211800000
74,MIT_101,referencescmob2,Ekolinga Romo - 9808111391 .
75,MIT_101,maritalstatus,Married .
76,MIT_101,contactnumber,"9253 54,3 1 ."
