,folder,file,text
0,VIT_819,nationality,Indian .
1,VIT_819,Dateofbirth,05 ( 100 ( 1997 .
2,VIT_819,Fatherhusbandname,Tanveer Miscava .
3,VIT_819,permanentaddress,"57/89 . Kaur slogan , Pond ,chevry -"
4,VIT_819,experience,3 Year at Svidhar-kohli .
5,VIT_819,date,04 (23 ( 2022 .
6,VIT_819,presentaddress,"H. Do. 2a , Bajwa , Mwyaffear Nagay"
7,VIT_819,gender,Female
8,VIT_819,bloodgroup,0 #
9,VIT_819,experience1,6 Year at Santa L.C.
10,VIT_819,qualification,12th Pass .
11,VIT_819,languageknown,"Tamil , English , Hindi"
12,VIT_819,referencescmob2,Eka Sekhon - 726359 8282 .
13,VIT_819,pancard,KLUW.P 3565F.
14,VIT_819,maritalstatus,married .
15,VIT_819,contactnumber,74419 598 33 .
16,VIT_819,AlternateNo,9 7602 60 995
17,VIT_819,place,Kavaratti .
18,VIT_819,candidatename,"E""sha M.B.va."
19,VIT_819,referencescmob1,"Arvinisms Nagy , 933 5245 979 ."
20,TCE_1276,nationality,Indian
21,TCE_1276,Dateofbirth,8/20 ( 1959
22,TCE_1276,Fatherhusbandname,I Samp Sharat
23,TCE_1276,permanentaddress,"3xful , Rural Gang , Purbhani -831952 ."
24,TCE_1276,experience,I year at Ravi Ltd .
25,TCE_1276,date,0911572023 .
26,TCE_1276,presentaddress,"83, Baley Mary , Amaravati-97 8920"
27,TCE_1276,gender,Male .
28,TCE_1276,bloodgroup,0 -
29,TCE_1276,experience1,10 years at Ramakrishnan satire
30,TCE_1276,qualification,Diploma .
31,TCE_1276,languageknown,"Orujarpski , Tamil"
32,TCE_1276,referencescmob2,Bhowika Kuishran - 770-550 bs ) .
33,TCE_1276,maritalstatus,Marquied .
34,TCE_1276,contactnumber,909 5FA3039 .
35,TCE_1276,AlternateNo,737.3.6.8 .
36,TCE_1276,place,Hyderabad .
37,TCE_1276,candidatename,Dias Sharat
38,TCE_1276,referencescmob1,Advika Rana-8404583665
39,VIT_856,nationality,Indian
40,VIT_856,Dateofbirth,7lar ( 2004 .
41,VIT_856,Fatherhusbandname,Udant Tailor .
42,VIT_856,permanentaddress,"H.NO.91 , Mall Road , Vijayenagram"
43,VIT_856,experience,9 years at Pant Group .
44,VIT_856,date,09if 18 ( 2024 .
45,VIT_856,presentaddress,"hof518 , Paula Streek , leochi 818672"
46,VIT_856,gender,Female .
47,VIT_856,bloodgroup,AB -
48,VIT_856,experience1,It years at Saehdev PLC .
49,VIT_856,qualification,Graduate .
50,VIT_856,languageknown,"Telegy , Hindi"
51,VIT_856,referencescmob2,Anamika keer - 7254 lb0516
52,VIT_856,pancard,RIDUBO826R
53,VIT_856,maritalstatus,fingle .
54,VIT_856,contactnumber,7 2.20 825134
55,VIT_856,AlternateNo,91944 54058 .
56,VIT_856,place,Hyderabad .
57,VIT_856,candidatename,FKTA Taylor .
58,VIT_856,referencescmob1,"George Natarajan , 8177191976"
59,VIT_806,nationality,Dnalian .
60,VIT_806,Dateofbirth,6 in left-2 .
61,VIT_806,Fatherhusbandname,Lohir Agate
62,VIT_806,permanentaddress,"H.NO. 931 , Majumdar Mary , Leharagpur - 3.8"
63,VIT_806,experience,5 Years at Khalsa Inc
64,VIT_806,date,11 (03 ( 2025 .
65,VIT_806,presentaddress,"H. No. 01 4 , Baladubramanian Mary , Tadipati"
66,VIT_806,gender,Female .
67,VIT_806,bloodgroup,B.
68,VIT_806,experience1,2 years at Salvi-Salvi
69,VIT_806,qualification,Graduate .
70,VIT_806,languageknown,"Gujarathi , Hindi , Kannada"
71,VIT_806,referencescmob2,A bhimanyu' Bhatt - 1.32067378
72,VIT_806,pancard,BPNLP 9.5.7.W.
73,VIT_806,maritalstatus,Married .
74,VIT_806,contactnumber,7500807060 .
75,VIT_806,AlternateNo,9016538786
76,VIT_806,place,Delhi .
77,VIT_806,candidatename,Yamini Agate
78,VIT_806,referencescmob1,Nachaket' frupta - 7.62882338
79,TCE_1486,nationality,Indian
80,TCE_1486,Dateofbirth,912011963 .
81,TCE_1486,Fatherhusbandname,Gadem Sami .
82,TCE_1486,permanentaddress,"824 ; Khanna Nagal , Bhimaranam 283436 ."
